aircraft_fully_qualified_registration_no,aircraft_identification_no,manufacturer_name,manufacturer_code,aircraft_model_identifier,aircraft_series_identifier
-17,42416,Boeing,81205,747,8I
-17,42417,Boeing,81205,747,8I
-17,USAF-HERC-88212,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130J
-16,USAF-HERC-88211,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130J
-11,USAFGLF503602,Gulfstream,2AAX5,Gulfstream G550,
1,1468,Airbus,FA849,A319,100 ACJ
1,SAC-1,Boeing (McDonnell-Douglas),88277,C-17,A
1,5547,Gulfstream,2AAX5,Gulfstream G550,
1,653,Gulfstream,2AAX5,Gulfstream V,
2,SAC-2,Boeing (McDonnell-Douglas),88277,C-17,A
2,550-0011,Textron Aviation (Cessna),ZZZZZ,Citation II (Cessna 550),550 Citation II
2,11576,Fokker,ZZZZZ,Fokker,70
2,10617,Fokker,ZZZZZ,Fokker F.27,500
2,5554,Gulfstream,2AAX5,Gulfstream G550,
2,5416,Gulfstream,2AAX5,Gulfstream G550,
2,BC-37,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air A200
3,SAC-3,Boeing (McDonnell-Douglas),88277,C-17,A
3,11566,Fokker,ZZZZZ,Fokker,70
4,602,ATR,ZZZZZ,ATR 42,500
5,545,ATR,ZZZZZ,ATR 72,500
5,5,Dassault,F6117,Falcon 50,
5,LW-170,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air E90
6,178,ATR,ZZZZZ,ATR 42,300
7,007,Airbus Defence & Space,ZZZZZ,A400M,
7,159,ATR,ZZZZZ,ATR 42,300
7,7,Dassault,F6117,Falcon 50,
8,008,Airbus Defence & Space,ZZZZZ,A400M,
8,927,ATR,ZZZZZ,ATR 72,500
9,1202,Antonov,ZZZZZ,An-26,
9,939,ATR,ZZZZZ,ATR 72,500
9,AC-745B,Fairchild (Swearingen),ZZZZZ,Merlin IV/Metro,C-26
10,010,Airbus Defence & Space,ZZZZZ,A400M,
10,5014,Gulfstream,2AAX5,Gulfstream G550,
11,011,Airbus Defence & Space,ZZZZZ,A400M,
11,S-09,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
12,012,Airbus Defence & Space,ZZZZZ,A400M,
12,S-010,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
12,12,ASTA,ZZZZZ,Nomad,N22B
13,S-013,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
14,014,Airbus Defence & Space,ZZZZZ,A400M,
14,S-014,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
15,S-015,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
16,S-018,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
16,5044,Gulfstream,2AAX5,Gulfstream G550,
17,S-019,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
17,5132,Gulfstream,2AAX5,Gulfstream G550,
18,S-020,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
18,5143,Gulfstream,2AAX5,Gulfstream G550,
19,019,Airbus Defence & Space,ZZZZZ,A400M,
20,S-044,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
20,518,Pilatus,ZZZZZ,PC-12,45
21,S-051,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
21,0821,Zlin Aircraft,ZZZZZ,Z 242,
22,S-053,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
22,0822,Zlin Aircraft,ZZZZZ,Z 242,
23,S-089,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
24,S-092,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
25,S-091,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
26,S-104,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
27,S-107,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
27,27,Dassault,F6117,Falcon 50,
30,30,Dassault,F6117,Falcon 50,
31,031,Airbus Defence & Space,ZZZZZ,A400M,
32,36576096926,Antonov,ZZZZZ,An-72,P
32,32,Dassault,F6117,Falcon 10/100,Falcon 10MER
33,033,Airbus Defence & Space,ZZZZZ,A400M,
33,33,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
34,34,Dassault,F6117,Falcon 50,
35,FL-35,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
36,36,Dassault,F6117,Falcon 50,
37,037,Airbus Defence & Space,ZZZZZ,A400M,
41,1735,Airbus,FA849,A330,200 MRTT
41,41,Dassault,F6117,Falcon 20/200,Falcon 20-5
44,AJE003-17,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
45,45,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 200
45,FL-45,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
45,0045,Harbin,ZZZZZ,Y-12,II
48,448,Dassault,F6117,Falcon 20/200,Falcon 20G
53,053,Airbus Defence & Space,ZZZZZ,A400M,
53,53,Dassault,F6117,Falcon 20/200,Falcon 20-5
54,121054,Embraer,001JK,EMB-121,
55,0802,Antonov,ZZZZZ,An-30,
55,121055,Embraer,001JK,EMB-121,
62,062,Airbus Defence & Space,ZZZZZ,A400M,
64,121064,Embraer,001JK,EMB-121,
65,065,Airbus Defence & Space,ZZZZZ,A400M,
65,65,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 200
65,121065,Embraer,001JK,EMB-121,
65,465,Dassault,F6117,Falcon 20/200,Falcon 20G
66,66,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 200
66,121066,Embraer,001JK,EMB-121,
67,121067,Embraer,001JK,EMB-121,
68,121068,Embraer,001JK,EMB-121,
68,902522,Aircraft Industries - Let,ZZZZZ,L-410,UVP-E
68,68,ASTA,ZZZZZ,Nomad,N22C
69,121069,Embraer,001JK,EMB-121,
70,13708,Antonov,ZZZZZ,An-26,
70,121070,Embraer,001JK,EMB-121,
71,4127,Leonardo (Alenia),K0058,C-27,J
71,71,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 200
71,121071,Embraer,001JK,EMB-121,
72,4140,Leonardo (Alenia),K0058,C-27,J
72,72,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 200
72,121072,Embraer,001JK,EMB-121,
72,472,Dassault,F6117,Falcon 20/200,Falcon 20G
72,05710,Xian Aircraft Company,ZZZZZ,Y-7,100
73,073,Airbus Defence & Space,ZZZZZ,A400M,
73,4145,Leonardo (Alenia),K0058,C-27,J
73,121073,Embraer,001JK,EMB-121,
73,007H02,Xian Aircraft Company,ZZZZZ,Y-7,H
74,121074,Embraer,001JK,EMB-121,
75,121075,Embraer,001JK,EMB-121,
77,808,ATR,ZZZZZ,ATR 72,500
77,121077,Embraer,001JK,EMB-121,
77,477,Dassault,F6117,Falcon 20/200,Falcon 20G
77,77,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
78,121078,Embraer,001JK,EMB-121,
78,78,Dassault,F6117,Falcon 50,
78,78,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
80,480,Dassault,F6117,Falcon 20/200,Falcon 20G
81,121081,Embraer,001JK,EMB-121,
82,121082,Embraer,001JK,EMB-121,
83,121083,Embraer,001JK,EMB-121,
84,121084,Embraer,001JK,EMB-121,
85,121085,Embraer,001JK,EMB-121,
86,121086,Embraer,001JK,EMB-121,
87,014,IAI,ZZZZZ,Arava,201
87,121087,Embraer,001JK,EMB-121,
87,87,ASTA,ZZZZZ,Nomad,N22C
89,089,Airbus Defence & Space,ZZZZZ,A400M,
89,121089,Embraer,001JK,EMB-121,
90,121090,Embraer,001JK,EMB-121,
91,121091,Embraer,001JK,EMB-121,
92,121092,Embraer,001JK,EMB-121,
93,93,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
94,94,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
95,95,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
96,121096,Embraer,001JK,EMB-121,
98,121098,Embraer,001JK,EMB-121,
99,121099,Embraer,001JK,EMB-121,
99,99,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
99,0099,Harbin,ZZZZZ,Y-12,II
100,100,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
101,101,Dassault,F6117,Falcon 10/100,Falcon 10MER
101,258982,Textron Aviation (Hawker),ZZZZZ,HS125/Hawker,Hawker 850
102,4430,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
102,121102,Embraer,001JK,EMB-121,
102,90A862,UAC (Tupolev),ZZZZZ,Tu-154,M
102,371803,Shaanxi,ZZZZZ,Y-8,200
102,0701,Zlin Aircraft,ZZZZZ,Z 242,
103,MG0103,Antonov,ZZZZZ,An-26,
103,121103,Embraer,001JK,EMB-121,
103,103,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
103,0702,Zlin Aircraft,ZZZZZ,Z 242,
104,104,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
104,0703,Zlin Aircraft,ZZZZZ,Z 242,
105,105,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 200
105,121105,Embraer,001JK,EMB-121,
105,105,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
105,0767,Zlin Aircraft,ZZZZZ,Z 242,
106,4431,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
106,0776,Zlin Aircraft,ZZZZZ,Z 242,
107,MG0107,Antonov,ZZZZZ,An-26,
107,107,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 200
107,121107,Embraer,001JK,EMB-121,
108,AN26047,Antonov,ZZZZZ,An-26,
108,121108,Embraer,001JK,EMB-121,
110,61358,Boeing,81205,737 NG,800
110,251,Dassault,F6117,Falcon 20/200,Falcon 20E
110,110,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
110,UK9-YN12-48088,Harbin,ZZZZZ,Y-12,II
111,64927,Boeing,81205,737 NG,BBJ2
111,4605,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
111,111,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 200
111,121111,Embraer,001JK,EMB-121,
111,318,Dassault,F6117,Falcon 20/200,Falcon 20E
111,111,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
112,4369,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
112,4737,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
112,4302,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,L-100
112,0112,Harbin,ZZZZZ,Y-12,II
113,4373,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
113,0113,Harbin,ZZZZZ,Y-12,II
114,4395,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
114,114,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 200
114,UK9-YN12-48089,Harbin,ZZZZZ,Y-12,II
115,4400,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
115,115,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
116,5002,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
116,4798,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,L-100
117,4403,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
117,117,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
118,4405,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
118,2,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 10
119,3,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 10
120,0093,Harbin,ZZZZZ,Y-12,II
123,123,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 200
124,0094,Harbin,ZZZZZ,Y-12,II
125,125,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
126,4,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 10
126,0095,Harbin,ZZZZZ,Y-12,II
127,5,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 10
128,128,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 200
129,S-129,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
129,129,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 200
129,129,Dassault,F6117,Falcon 10/100,Falcon 10MER
129,0096,Harbin,ZZZZZ,Y-12,II
130,0097,Harbin,ZZZZZ,Y-12,II
131,131,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
132,132,Dassault,F6117,Falcon 50,
133,133,Dassault,F6117,Falcon 10/100,Falcon 10MER
134,0098,Harbin,ZZZZZ,Y-12,II
136,136,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
136,UK9-YN12-48090,Harbin,ZZZZZ,Y-12,II
137,137,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 200
138,UK9009,Harbin,ZZZZZ,Y-12,II
139,139,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
140,17625,Boeing,81205,707,320
140,S-140,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
140,UK9-YN12-48091,Harbin,ZZZZZ,Y-12,II
141,141,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 200
142,S-142,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
143,143,Dassault,F6117,Falcon 10/100,Falcon 10MER
146,146,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700 B
147,147,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700 B
152,152,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 200
156,156,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 200
156,156,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700 B
158,158,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 200
159,159,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700 B
160,160,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 200
160,160,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700 B
165,165,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 200
181,001801,Shaanxi,ZZZZZ,Y-8,
185,185,Dassault,F6117,Falcon 10/100,Falcon 10MER
193,193,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 300
194,194,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 300
195,195,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 300
196,196,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 300
197,197,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 300
198,198,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 300
199,199,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 300
200,200,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 300
201,24115,Boeing,81205,707,E-3
202,24116,Boeing,81205,707,E-3
203,24117,Boeing,81205,707,E-3
203,AJG002-03,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
204,24510,Boeing,81205,707,E-3
204,AJG002-04,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
205,AJG002-05,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
206,AJG002-06,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 B1T
207,21167,Boeing,81205,737 (JT8D),200
207,AJG002-07,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 B1R
208,AJG002-08,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 B1R
208,4533,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
208,76,Viking Air,ZZZZZ,DHC-5,D
209,AJG002-09,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 B1R
209,145209,Embraer,001JK,ERJ-135,
210,AJG002-10,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 B1R
210,78,Viking Air,ZZZZZ,DHC-5,D
211,AJG002-11,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 B1R
211,89,Viking Air,ZZZZZ,DHC-5,D
212,AJG002-12,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 B1R
212,90,Viking Air,ZZZZZ,DHC-5,D
213,AJG003-01,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
214,AJG003-02,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
215,AJG003-03,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
215,DC-814M,Fairchild (Swearingen),ZZZZZ,Merlin IV/Metro,C-26
216,AJG003-04,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
216,20,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 100
216,124,Viking Air,ZZZZZ,DHC-5,D
216,DC-832M,Fairchild (Swearingen),ZZZZZ,Merlin IV/Metro,C-26
217,AJG003-05,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
218,AJG004-01,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
218,22,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 100
219,AJG004-02,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
219,19,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 100
220,AJG004-03,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
221,AJG004-04,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
221,402B-1360,Textron Aviation (Cessna),ZZZZZ,Cessna 402,402B
222,AJG004-05,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
222,OSJ0-C27-113410,Leonardo (Alenia),K0058,C-27,J
222,402C-0523,Textron Aviation (Cessna),ZZZZZ,Cessna 402,402C
222,500-0092,Textron Aviation (Cessna),ZZZZZ,Citation I (Cessna 500),500 Citation
223,AJG004-06,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
224,AJG004-07,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
225,AJG004-08,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
231,455,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 300
232,456,Airbus Defence & Space,ZZZZZ,CASA C-212,C-212 300
233,560-0233,Textron Aviation (Cessna),ZZZZZ,Citation V (Cessna 560),560 Citation V
239,VZ007,Antonov,ZZZZZ,An-26,
241,VZ009,Antonov,ZZZZZ,An-26,
242,AN26017,Antonov,ZZZZZ,An-26,
243,VZ011,Antonov,ZZZZZ,An-26,
245,VZ030,Antonov,ZZZZZ,An-26,
248,20429,Boeing,81205,707,320C
248,VZ013,Antonov,ZZZZZ,An-26,
249,VZ014,Antonov,ZZZZZ,An-26,
250,20428,Boeing,81205,707,320C
250,208B-2306,Textron Aviation (Cessna),ZZZZZ,Cessna 208 Caravan,208B Grand Caravan
251,VZ034,Antonov,ZZZZZ,An-26,
251,208B-2365,Textron Aviation (Cessna),ZZZZZ,Cessna,208 Caravan
252,VZ039,Antonov,ZZZZZ,An-26,
252,85,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 100
253,94,Airbus Defence & Space,ZZZZZ,CASA CN-235,CN-235 100
254,VZ016,Antonov,ZZZZZ,An-26,
254,4008,Britten-Norman,ZZZZZ,BN-2,T
258,45-234,Bombardier (Learjet),L00I6,Learjet 45,
260,20716,Boeing,81205,707,320B
260,VZ021,Antonov,ZZZZZ,An-26,
260,9940260,UAC (Yakovlev),ZZZZZ,Yak-40,
261,VZ035,Antonov,ZZZZZ,An-26,
262,VZ022,Antonov,ZZZZZ,An-26,
262,110150,Embraer,001JK,EMB-110,EMB-111A
263,110154,Embraer,001JK,EMB-110,EMB-111A
264,20721,Boeing,81205,707,320C
264,VZ010,Antonov,ZZZZZ,An-26,
264,110158,Embraer,001JK,EMB-110,EMB-111A
265,110162,Embraer,001JK,EMB-110,EMB-111A
266,110166,Embraer,001JK,EMB-110,EMB-111A
267,11201,Antonov,ZZZZZ,An-26,
268,VZ023,Antonov,ZZZZZ,An-26,
269,VZ024,Antonov,ZZZZZ,An-26,
270,VZ025,Antonov,ZZZZZ,An-26,
271,VZ026,Antonov,ZZZZZ,An-26,
272,21096,Boeing,81205,707,320C
272,VZ020,Antonov,ZZZZZ,An-26,
275,21334,Boeing,81205,707,320C
275,VZ027,Antonov,ZZZZZ,An-26,
276,VZ028,Antonov,ZZZZZ,An-26,
279,VZ029,Antonov,ZZZZZ,An-26,
280,VZ040,Antonov,ZZZZZ,An-26,
281,VZ036,Antonov,ZZZZZ,An-26,
282,12105,Antonov,ZZZZZ,An-26,
285,VZ037,Antonov,ZZZZZ,An-26,
286,VZ031,Antonov,ZZZZZ,An-26,
287,VZ032,Antonov,ZZZZZ,An-26,
290,21956,Boeing,81205,707,320C
291,VZ033,Antonov,ZZZZZ,An-26,
292,292,Viking Air,ZZZZZ,DHC-6,300
295,20919,Boeing,81205,707,320C
300,3604,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130B
300,300,Viking Air,ZZZZZ,DHC-6,300
301,847,Viking Air,ZZZZZ,DHC-6,400
302,858,Viking Air,ZZZZZ,DHC-6,400
303,3613,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130B
303,865,Viking Air,ZZZZZ,DHC-6,400
303,FL-303,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
304,456,Britten-Norman,ZZZZZ,BN-2,A
304,680-0045,Textron Aviation (Cessna),ZZZZZ,Citation Sovereign (Cessna 680),680 Citation Sovereign
304,873,Viking Air,ZZZZZ,DHC-6,400
304,189,Bombardier (de Havilland),L00I6,DHC-8,100
305,3913,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130E
305,274,Viking Air,ZZZZZ,DHC-6,300
305,879,Viking Air,ZZZZZ,DHC-6,400
305,219,Bombardier (de Havilland),L00I6,DHC-8,100
306,891,Viking Air,ZZZZZ,DHC-6,400
306,223,Bombardier (de Havilland),L00I6,DHC-8,100
307,892,Viking Air,ZZZZZ,DHC-6,400
308,266,Viking Air,ZZZZZ,DHC-6,300
309,3943,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130E
309,902,Viking Air,ZZZZZ,DHC-6,400
310,430,Britten-Norman,ZZZZZ,BN-2,A
310,3993,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130E
310,907,Viking Air,ZZZZZ,DHC-6,400
311,AJE003-08,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
311,538,Britten-Norman,ZZZZZ,BN-2,A
311,4834,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,L-100
311,385,Viking Air,ZZZZZ,DHC-6,300
312,567,Britten-Norman,ZZZZZ,BN-2,A
312,4961,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H-30
312,322,Viking Air,ZZZZZ,DHC-6,300
313,910,Viking Air,ZZZZZ,DHC-6,400
314,3840,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130E
314,911,Viking Air,ZZZZZ,DHC-6,400
315,912,Viking Air,ZZZZZ,DHC-6,400
318,3914,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130E
320,552,Britten-Norman,ZZZZZ,BN-2,A
321,488-41-OB2,Vulcanair,ZZZZZ,P.68,Observer
322,489-42-OB2,Vulcanair,ZZZZZ,P.68,Observer
323,490-43-OB2,Vulcanair,ZZZZZ,P.68,Observer
324,491-44-OB2,Vulcanair,ZZZZZ,P.68,Observer
325,492-45-OB2,Vulcanair,ZZZZZ,P.68,Observer
326,493-46-OB2,Vulcanair,ZZZZZ,P.68,Observer
327,494-47-OB2,Vulcanair,ZZZZZ,P.68,Observer
328,4190,Leonardo (Alenia),K0058,C-27,J
329,4191,Leonardo (Alenia),K0058,C-27,J
330,FPR-C27-85888,Leonardo (Alenia),K0058,C-27,J
331,722,Pilatus,ZZZZZ,PC-6,B
332,4194,Leonardo (Alenia),K0058,C-27,J
342,BB-342,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,
344,4779,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
345,4813,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
346,4920,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
347,4929,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
349,3753,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130E
351,3823,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130E
351,050,Bombardier (Learjet),L00I6,Learjet 35,
352,23042,Boeing,81205,737 (JT8D),200
352,S-08,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
352,066,Bombardier (Learjet),L00I6,Learjet 35,
353,S-011,Airbus Defence & Space,ZZZZZ,CASA C-295,C-295 M
355,AJE003-39,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
356,AJE003-40,Sikorsky (PZL-Mielec),3G066,An-28 / M28,M28 Skytruck
360,208B-5464,Textron Aviation (Cessna),ZZZZZ,Cessna 208 Caravan,208B Grand Caravan
361,525-0463,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ1 (Cessna 525),525 CJ1
362,525-0464,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ1 (Cessna 525),525 CJ1
363,525-0465,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ1 (Cessna 525),525 CJ1
364,525-0507,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ1 (Cessna 525),525 CJ1
365,FL-365,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
374,145374,Embraer,001JK,ERJ-145,
390,LJ-1146,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90A
392,LJ-1336,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90B
401,3724,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130B
401,BC-34,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,C-12
401,0783,Zlin Aircraft,ZZZZZ,Z 242,
402,3749,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130B
402,BB-1733,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,C-12
402,0784,Zlin Aircraft,ZZZZZ,Z 242,
403,3750,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130B
403,550-0403/551-0058,Textron Aviation (Cessna),ZZZZZ,Citation II (Cessna 550),550 Citation II
403,BB-1744,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,C-12
403,0785,Zlin Aircraft,ZZZZZ,Z 242,
404,1AJ004-04,Sikorsky (PZL-Mielec),3G066,An-28,
404,3764,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130B
404,0786,Zlin Aircraft,ZZZZZ,Z 242,
405,3405,Antonov,ZZZZZ,An-26,
405,1AJ004-05,Sikorsky (PZL-Mielec),3G066,An-28,
405,3765,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130B
405,0787,Zlin Aircraft,ZZZZZ,Z 242,
406,3406,Antonov,ZZZZZ,An-26,
406,3767,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130B
407,3407,Antonov,ZZZZZ,An-26,
408,3526,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130B
409,3530,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130B
410,22289,Boeing,81205,727,200
420,4653,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
427,4660,Lockheed Martin,ZZZZZ,C-130/L-100 Hercules,C-130H
